Dia,Hora,Total_Pruebas,Descartados,Positivos,Nuevos_Positivos,TasaPositivos,Pruebas_dia,Recuperados,Fallecidos,Hospitalizados,Hospitalizados_UCI,Hospitalizados_ventilador,PruebasRapidas,RapidasPositivos,Pruebas_diaPR,PR_nuevos,PM_PR
6-Mar,18:00,155,154,1,1,0.64516129,155,,,,,,,,,,
7-Mar,18:00,219,213,6,5,2.739726027,64,,,,,,,,,,
8-Mar,0:00,250,243,7,1,2.8,31,,,,,,,,,,
9-Mar,8:30,318,309,9,2,2.830188679,68,,,,,,,,,,
10-Mar,8:00,346,335,11,2,3.179190751,28,,,,,,,,,,
11-Mar,20:00,714,697,17,6,2.380952381,368,,,,,,,,,,
12-Mar,9:55,855,833,22,5,2.573099415,141,,,,,,,,,,
13-Mar,16:00,1232,1194,38,16,3.084415584,377,,,,,,,,,,
14-Mar,9:30,1545,1502,43,5,2.783171521,313,,,,,,,,,,
15-Mar,13:10,1822,1751,71,28,3.896816685,277,,,,,,,,,,
16-Mar,9:44,2315,2229,86,15,3.714902808,493,1,,,,,,,,,
17-Mar,10:08,2680,2563,117,31,4.365671642,365,1,,,,,,,,,
18-Mar,7:00,3075,2930,145,28,4.715447154,395,1,,,,,,,,,
19-Mar,12:00,3841,3607,234,89,6.092163499,766,1,3,19,,7,,,,,
20-Mar,13:00,4298,4035,263,29,6.119125174,457,1,4,28,,5,,,,,
21-Mar,13:00,4985,4667,318,55,6.379137412,687,1,5,28,,5,,,,,
22-Mar,14:00,6184,5821,363,45,5.869987063,1199,1,5,31,,5,,,,,
23-Mar,13:00,6664,6269,395,32,5.927370948,480,1,5,31,,5,,,,,
24-Mar,13:00,7013,6597,416,21,5.931840867,349,1,7,23,,9,,,,,
25-Mar,13:00,8040,7560,480,64,5.970149254,1027,1,9,38,,18,,,,,
26-Mar,13:00,9219,8639,580,100,6.291354811,1179,14,9,58,14,13,,,,,
27-Mar,13:00,10065,9430,635,55,6.308991555,846,14,11,79,19,21,,,,,
28-Mar,13:00,10896,10225,671,36,6.158223201,831,16,16,84,33,30,,,,,
29-Mar,13:00,12669,11817,852,181,6.72507696,1773,16,18,107,40,37,,,,,
30-Mar,13:00,13452,12502,950,98,7.062146893,783,16,18,238,49,37,,,,,
31-Mar,13:00,14463,13398,1065,115,7.363617507,1011,394,24,190,57,,,,,,
1-Apr,13:00,15587,14264,1323,258,8.487842433,1124,447,47,198,56,,,,,,
2-Apr,13:00,16518,15104,1414,91,8.560358397,931,537,55,189,51,,,,,,
3-Apr,13:00,17334,15739,1595,181,9.20156917,816,537,61,189,51,,,,,,
4-Apr,13:00,17841,16095,1746,151,9.786446948,507,799,73,285,88,,,,,,
5-Apr,13:00,19410,17129,2281,535,11.75167439,1569,989,83,321,81,,,,,,
6-Apr,13:00,20414,17853,2561,280,12.54531204,1004,997,92,387,89,,,,,,
7-Apr,13:00,21555,18601,2954,393,13.70447692,1141,1301,107,490,109,,10104,532,,,
8-Apr,13:00,23255,19641,3614,660,15.54074393,1700,1333,121,512,113,,16344,728,6240,196,
9-Apr,13:00,24414,20289,4121,507,16.87965921,1159,1438,138,600,124,,24055,1135,7711,407,
10-Apr,13:00,25643,21094,4549,428,17.73973404,1229,1569,169,687,130,,31083,1348,7028,213,
11-Apr,13:00,27519,22258,5261,712,19.1177005,1876,1739,189,788,142,,38193,1587,7110,239,
12-Apr,13:00,31234,25467,5767,506,18.46385349,3715,1798,193,854,134,,45272,1752,7079,165,184
13-Apr,13:00,32644,26509,6135,368,18.79365274,1410,2642,216,901,143,,54472,3649,9200,1897,
14-Apr,13:00,33366,26839,6527,392,19.56182941,722,2869,230,914,132,,68850,3776,14378,127,231
15-Apr,13:00,34901,28081,6820,293,19.54098736,1535,3108,254,1113,146,,74484,4655,5634,879,
16-Apr,13:00,36090,28824,7266,446,20.13300083,1189,6120,274,1277,169,,85378,5225,10894,570,
17-Apr,13:00,37362,29656,7703,437,20.61720465,1272,6541,300,1219,137,,90151,5786,4773,561,
18-Apr,13:00,38462,30479,7983,280,20.75555093,1100,6648,348,1268,117,,97433,6437,7282,651,
19-Apr,13:00,40028,31665,8363,380,20.89287499,1566,6811,400,1349,167,,103717,7265,6284,828,
20-Apr,13:00,41356,32392,8964,601,21.67521037,1328,6968,445,1682,385,,106655,7361,2938,96,
21-Apr,13:00,42748,33277,9471,507,22.15542248,1392,6982,484,2419,380,,112972,8366,6317,1005,
22-Apr,13:00,44421,34359,10062,591,22.65144864,1673,7027,530,2434,396,,125979,9188,13007,822,
23-Apr,13:00,45715,34907,10808,746,23.64213059,1294,7422,572,2786,467,,139523,10106,13544,918,
24-Apr,13:00,47624,36192,11432,624,24.00470351,1909,7496,634,3194,505,,150725,10216,11202,110,
25-Apr,13:00,49546,37701,11845,413,23.90707625,1922,7797,700,3532,545,,168649,13486,17924,3270,
26-Apr,13:00,51316,38591,12725,880,24.79733416,1770,8088,728,3632,554,,181431,14792,12782,1306,
27-Apr,13:00,52672,39540,13132,407,24.93165249,1356,8425,782,3968,598,,186891,15567,5460,775,
28-Apr,13:00,54540,40798,13742,610,25.19618629,1868,9179,854,4088,600,,213072,17448,26181,1881,
29-Apr,13:00,56396,42012,14384,642,25.50535499,1856,10037,943,4289,623,,239866,19547,26794,2099,
30-Apr,13:00,58118,43162,14956,572,25.73385182,1722,10405,1051,4987,651,,260134,22020,20268,2473,
1-May,13:00,60381,44841,15540,584,25.73657276,2263,11129,1124,5287,658,,282117,24919,21983,2899,
2-May,13:00,62536,46364,16172,632,25.86030446,2155,12434,1200,5098,671,,293068,26362,10951,1443,
3-May,13:00,64178,47448,16730,558,26.06812303,1642,13550,1286,5281,679,,310918,29198,17850,2836,
4-May,13:00,65792,48490,17302,572,26.29803016,1614,14427,1344,5435,694,,319700,30070,8782,872,
5-May,13:00,67563,49849,17714,412,26.21849237,1771,15413,1444,5509,709,,339016,33475,19316,3405,
6-May,13:00,70344,51840,18504,790,26.30501535,2781,17527,1533,5729,717,,359114,36313,20098,2838,
7-May,13:00,72844,53336,19508,1004,26.78051727,2500,18388,1627,5980,722,,375176,39018,16062,2705,
8-May,13:00,74902,54573,20329,821,27.14079731,2058,19012,1714,6155,730,,398288,41518,23112,2500,